record_id,time,victim,narrative,date_raw,source_page,notes
9551,2000-1200 HRS.,OAK PARK RESIDENT,"person(s) unknown removed the victim's tan in color with green roof ""little tykes"" plastic toy play house from the front yard of the residence. loss estimated at $100.00.",05-MAY-22/06-MAY-22,2.0,
9552,1537 HRS.,DOLLAR TREE - 6226 ROOSEVELT RD.,"subject: walker, howard 55 yoa, of the 300 block of s. central, chicago was arrested after being identified as the offender of a retail theft.",20-APR-22,1.0,
9553,0730-1400 HRS.,OAKPARK RESIDENT,"person(s) unknown removed the catalytic converter to the victim's 2016 white mitsubishi outlander while parked. estimated loss $3,500.00.",29-MAR-22,1.0,
9554,1010 HRS,OAK PARK RESIDENT,"person(s) unknown removed packages containing japananese anime figurine and pair of nike gym shoes, from a secured mail room, at the above address. estimated loss $435.00.",14-FEB-22,1.0,
9555,2300 - 1600 HRS,OAK PARK RESIDENT,person(s) unknown removed the victim's unsecured navy light blue syrrus elite disc hybrid bicycle from an unsecure common area at the above address. estimated loss $990.00.,19-DEC-21 - 20-DEC-21,2.0,
9556,0700 - 1325 HRS,AUTO EXPERTS 6540 ROOSEVELT ROAD,"person(s) unknown by use of multicolors grafitied on the east side wall of the victim's business. estimated damage unknown, at time of report.",15-NOV-21 - 29-NOV-21,2.0,
9557,1652 HRS.,VENUS HAIR SALON / 125 S. OAK PARK,"subject: bates, willie 23 yoa, of the 9800 block of s. calumet, chicago, il. was arrested for the burglary that occurred on 10-jan-21.",21-JAN-21,1.0,legit_outside_oak_park: event outside OP (CHICAGO)
9558,1600 - 0700 HRS.,OAK PARK RESIDENT,"person(s) unknown by means of an unlocked door gained entry to the victim's vehicle. once inside, offender(s) ransacked the interior. no loss reported.",11-JAN-21 - 12-JAN-21,1.0,
9559,1900-1000 HRS.,OAK PARK RESIDENT,offender(s) unknown gained entry to the victim's white in color 2019 volkswagon jetta and ransacked the interior of the vehicle. no loss was reported.,13-DEC-20 - 15-DEC-20,2.0,
9560,1800 - 0745 HRS.,OAK PARK RESIDENT,"person(s) unknown by means of an unlocked door gained entry to the victim's garage. once inside, the offender(s) removed the victim's snow blower. estimated loss $800.00",02-NOV-20 - 03-NOV-20,1.0,
9561,1512 HRS.,AURORA RESIDENT,"grant, peter 49yoa of the 1400 block of n hoyne in chicago was arrested for criminal sexual abuse which occurred on 16-jun-20 on the 500 block of s. maple.",09-JUL-20,2.0,manual_fix: regeocoded_with_op_bias
9562,0600-1500 HRS.,OAK PARK RESIDENT,offender(s) unknown removed the amazon package containing a black and gray klb sport adjustable workout stepper from the unsecured lobby area. estimated loss $56.79.,09-JUN-20 - 10-JUN-20,1.0,
9563,1400-1900 HRS.,OAK PARK RESIDENT,"person(s) unknown, by means of a cutting type tool, removed the catalytic converter from the victim's cadillac deville. loss estimated at $700.00.",19-MAY-20/23-MAY-20,4.0,
9564,1800 - 1955 HRS.,OAK PARK RESIDENT,person(s) unknown by means of the open overhead door entered the victim's garage. once inside a blue unisex diamondback hybrid bicycle was removed. estimated loss $500.00,21-APR-20,2.0,
9565,1520-0730 HRS.,WESTCHESTER RESIDENT,offender(s) unknown by means of an unlocked driver side door gained entry to the victim's vehicle and removed a gift card. estimated loss $100.00.,24-FEB-20 - 25-FEB-20,2.0,
9566,0046 - 0107 HRS.,OAK PARK RESIDENT,offender(s) unknown by means of an unlocked door gained entry to the victim's vehicle and ransacked interior. no report loss at time of report.,26-AUG-19,1.0,
9567,1000 - 1331 HRS,OAK PARK RESIDENT,person(s) unknown entered the victim's back yard and removed an unsecure/unattended womens lavender schwinn stardust bicycle from the above address. estimated loss $250.00,10-JUL-19 - 29-JUL-19,2.0,
9568,1245 HRS.,SWEDISH RESIDENT,person(s) unknown removed the victim's black hand bag that was left unattended at the above location. the hand bag contained the victim's passport. total loss is $100.00.,19-JULY-19,1.0,
9569,1500-1015 HRS,OAK PARK RESIDENT,"person(s) unknown by use of a cutting type tool removed the catalytic converter from the victim's vehicle, while parked at the above address. estimated loss $500.00",19-JUL-19 - 20-JUL-19,2.0,
9570,0800 - 1835 HRS.,OAK PARK RESIDENT,person(s) unknown by unknown means removed the victim's rear wheel/tire from her bicycle which was secured to the bike rack at the above location. total loss is $100.00.,17-JULY-19,1.0,
9571,1345 HRS.,OAK PARK RESIDENT,person(s) unknown removed the victim's pink huffy bicycle that was left unsecured and unattended on the front porch of the above location. total loss is $100.00.,05-JUNE-19,1.0,
9572,1400 - 1500 HRS.,OAK PARK RESIDENT,person(s) unknown removed the victim's school issued chrome book which was left unattended in the girls locker room at the above location. total loss is $357.00.,16-MAY-19,1.0,
9573,1523 HRS.,VILLAGE OF OAK PARK,"subject: ibarra, jose asuncion 46 yoa, of the 1900 block of cuyler ave., berwyn, il. was arrested for leaving the scene of an accident.",20-MAY-19,1.0,
9574,1200 - 1256 HRS.,OAK PARK RESIDENT,offender(s) unknown defeated the u-lock and removed the 26`` black/maroon schwinn sidewinder bicycle from the 3rd floor at the above address. estimated loss is $200.00.,01-APR-19 - 11-APR-19,1.0,
9575,1622 HRS.,OAK PARK BUSINESS,"subject: henderson, keith 46 yoa, of the 1700 block of n. kedzie, chicago, il. was arrested for retail theft and an active i.d.o.c. parole violation warrant.",05-APR-19,1.0,
9576,2126 HRS.,OAK PARK RESIDENT,"subject: reed, jaylin j. 19 yoa, of the 800 block of n. central, chicago, il. was arrested for criminal trespass to motor vehicle.",28-MAR-19,1.0,
9577,0655 - 1650 HRS.,CHICAGO RESIDENT,person(s) unknown by unknown means removed the center chrome caps from all four wheels of the victim's black 2011 buick lacrosse. estimated loss $240.00,22-FEB-19,1.0,
9578,0439 HRS,OAK PARK RESIDENT,the brown 2013 hyundai that was taken out of oak park on 14-feb-19 was recovered at the above address. cpd has one subject in custody.,18-FEB-19,1.0,legit_outside_oak_park: event outside OP (CHICAGO)
9579,2110 - 2122 HRS.,OAK PARK RESIDENT,"offender(s) unknown, by means of brute force, damaged the side service door to the victim's garage. entry was not gained. estimated damage $100.00",05-FEB-19,2.0,
9580,1436 HRS,OAK PARK RESIDENT,a silver 2012 infinity g37 sedan which was reported stolen on 19-oct-18 was recovered at the above location by chicago police. no apprehensions.,30-OCT-18,2.0,legit_outside_oak_park: event outside OP (CHICAGO)
9581,2045 HRS,OAK PARK RESIDENT,person(s) unknown entered the victim's unlocked vehicle which was parked in the rear and once inside ransacked the glove compartment. no loss reported.,16-OCT-18,2.0,
9582,0848 HRS.,OAK PARK RESIDENT,"subject: jackson, johnnie e. 54yoa, of the 2700 block of w. roosevelt, chicago was arrested for burglary that occurred on the 300 block of south elmwood.",08-OCT-18,1.0,
9583,2016 - 1600 HRS.,OAK PARK RESIDENT,"person(s) unknown gained entry to the victim's 2013 volvo xc70 by means of an unlocked door. once inside, offender(s) ransacked the center console. no loss",06-OCT-18 - 07-OCT-18,3.0,
9584,0720-2300 HRS,OAK PARK RESIDENT,person(s) unknown removed the victim's white schwinn bicycle which was locked to the bike rack at the above location by unknown means. loss estimated at $300.,05-SEP-18,1.0,
9585,1600 - 2200 HRS.,OAK PARK RESIDENT,"person(s) unknown by unknown means attempted to remove the victim's catalytic converter from her 2007 black honda element. estimated damage $1,000.00",24-JUL-18,1.0,
9586,0700-1900,OAK PARK RESIDENT,"person(s) unknown removed the victim's men's red 26"" khs alite 500 bicycle which was locked to the bike rack by defeating the cable lock loss estimated at $500.",12-JUL-18,2.0,
9587,1828 HRS,DUPAGE COUNTY,"subject: gullette-johnson, sarah 42yoa of 1000 block of south kenilworth was arrested after a name check revealed an active warrant out of dupage county.",09-JUL-18,2.0,
9588,2210 - 1000 HRS.,OAK PARK RESIDENT,"person(s) unknown gained entry to the victim's 2011 hyundai tuscan and removed a grey ""fossil"" leather wallet containing u.s.c. estimated loss $20.00",12-JUN-18 - 13-JUN-18,1.0,
9589,1130-1852 HRS,OAK PARK RESIDENT,"person(s) unknown by unknown means removed a kate spade wallet containing drivers license, usc and $100.00 gift card from victim's purse. total estimated loss $325.00.",14-MAY-18,2.0,
9590,0800-2000 HRS,BROOKFIELD RESIDENT,offender(s) by unknown means damaged the passenger side quarter panel of the victim's vehicle while parked at the above address. total damage $500.00.,01-MAR-18,3.0,
9591,0837 HRS.,WILD FORK FOODDS / 435 N. HARLEM,"m/b, removed four australian wagyu beef tomahawks and placed them in a white bag and then exited the business without payment. estimated loss $380.00",04-FEB-26,1.0,
9592,2130 - 2200 HRS.,OAK PARK RESIDENT,"m/b, was observed on video removing a delivered package from the front of the victim's residence. the package contained a polish pops nail polish set. estimated loss $65.00",02-FEB-26,1.0,
9593,0930- 1645 HRS.,OAK PARK RESIDENT,"person(s) unknown, by unknown means, removed the front license plate of the victim's 2017 silver ford escape. entered into l.e.a.d.s. estimated loss $6.00.",21-JAN-26 / 26-JAN-26,2.0,
9594,1200 HRS.,OAK PARK RESIDENT,"person(s) unknown, by unknown means, removed the victim's package that contained a dyson air wrap hair curler and styler from the common room area. estimated loss $510.00.",09-DEC-25,2.0,
9595,2100 HRS.,OAK PARK RESIDENT,"a m/w subject left with the victim's brown louis vuitton wallet and passport. the victim was unable to make contact to get her belongings back. estimated loss $1,000.00.",03-DEC-25,2.0,
9596,0000 - 1600 HRS.,OAK PARK RESIDENT,"person(s) unknown, by unknown means, removed the victim's grey 2019 nissan sentra. the vehicle was entered into l.e.a.d.s. estimated loss unknown at this time.",05-NOV-25,1.0,
9597,1200 HRS.,TARGET / 1129 LAKE,"gibbs, kolten a. (m/29) of the 4900 block of w. huron, chicago, il. was arrested for criminal trespass to real property.",30-SEP-25,1.0,legit_outside_oak_park: event outside OP (CHICAGO)
9598,1930 - 2130 HRS.,OAK PARK RESIDENT,"person(s) unknown by means of an open overhead door entered the victim's garage and removed a white/black cannondale roadbike bicycle. estimated loss $3,000.00",26-SEP-25,3.0,
9599,1630 - 1700 HRS.,OAK PARK RESIDENT,person(s) unknown by unknown means defeated a cable lock and removed the victim's blue trek mountain bicycle that had been secured to a bike rack. estimated loss $655.00,11-MAR-25,1.0,
9600,1430-1000 HRS.,BERWYN RESIDENT,"person(s) unknown by unknown means gained entry to the above business and removed a black cheyenne hawk tattoo machine consisting of a pen and battery pack. estimated loss $1,000.00.",28-FEB-25 - 03-MAR-25,1.0,
9601,0144 HRS.,,"javor, kenneth (m/37) of the 1600 block of n. troy, chicago, il. was arrested for driving under the influence of alcohol and leaving the scene of an accident.",11-JAN-25,1.0,
9602,1319 HRS.,OAK PARK RESIDENT,"m/b, wearing a blue amazon vest was observed on video removing a delivered package containing headphones and a soundbar from the victim's front porch. estimated loss $472.48",03-DEC-24,1.0,
9603,2230 - 0630 HRS.,OAK PARK RESIDENT,"person(s) unknown, by means of an unlocked side service door gained entry to the victim's garage. once inside, a black ouxi v8 ebike was removed. estimated loss $900.00",19-AUG-24 - 20-AUG-24,1.0,
9604,1400 - 1000 HRS.,OAK PARK RESIDENT,subject(s) unknown removed the victim's package that contained a recording audio device that was in the apartment common area at the above address. estimated loss $189.00.,23-JUL-24 - 24-JUL-24,1.0,
9605,1308-1545 HRS.,OAK PARK RESIDENT,subject(s) unknown removed the victim's amazon package that was left near the front entrance of the building. the package contained hair products. loss estimated at $55.00.,13-JUL-24,4.0,
9606,1209 HRS.,OAK PARK RESIDENT,"subject: ganesh, annette (f/60) of the 400 block of s. maple, oak park, il. was arrested for assault and criminal damage to property.",03-JUL-24,2.0,
9607,0826 HRS.,STATE OF ILLINOIS,"robinson, ivan j. (m/60) of the 900 block of washington, chicago, il. was arrested on an active warrant out of cook county for possession of a controlled substance.",25-JUN-24,1.0,
9608,1500 - 1120 HRS.,BROOKFIELD RESIDENT,"person(s) unknown by means of a cutting type tool removed the catalytic converter from the victim's 2004 honda element. estimated loss $2,000.00",27-MAY-24 - 28-MAY-24,1.0,
9609,2200 - 0630 HRS.,RIVER FOREST RESIDENT,"person(s) unknown by means of a cutting type tool removed the catalytic converter from the victim's 2010 kia forte. estimated loss $2,000.00",18-APR-24 - 19-APR-24,2.0,
9610,2115 HRS.,STATE OF ILLINOIS,"suin cajamarca, manuel (m/66) of the 4800 block of w. rice, chicago, il. was arrested for driving under the influence and driving while license suspended.",17-MAR-24,5.0,
9611,2100 - 1015 HRS.,OAK PARK RESIDENT,"person(s) unknown, by means of an open overhead door gained entry to the victim's garage. once inside, the victim's vehicle was entered and ransacked. no loss reported.",15-FEB-24 - 16-FEB-24,1.0,
9612,1540 HRS.,OAK PARK RESIDENT,"offender - m/b, was observed removing the front license plate from the victim's 2022 chrysler pacifica. offender fled in a newer grey colored vehicle.",06-DEC-23,1.0,
9613,1731 HRS.,WALGREENS,"the f/w offender entered the store, placed eight (8) boxes of robitussen cold medicine inside her bag and then fled the store in an unknown direction. total estimated loss $84.00.",03-DEC-23,6.0,
9614,0151 HRS.,OAK PARK RESIDENT,"offender: duncan, michael alan (m/38) of the 1400 block of coachway lane, hazelwood, missouri was arrested for criminal trespass to vehicle.",27-NOV-23,1.0,
9615,1037 HRS.,STATE OF ILLINOIS,"subject: harris, takeema s. (f/31) of the 10300 block of parkside, oak lawn, il. was arrested for driving under the influence and driving while license suspended.",12-NOV-23,5.0,
9616,1400 - 0445 HRS.,OAK PARK RESIDENT,"person(s) unknown by means of an unlocked door gained access to the victim's vehicle. once inside, the offender(s) ransacked the interior. no loss reported.",02-OCT-23,1.0,
9617,0320 HRS.,,"subject: robinson, keyon (m/20) of the 1000 block of washington, oak park, il. was arrested on an active warrant from cook county for u.u.w. and another from dupage county for traffic.",09-AUG-23,2.0,
9618,1307 - 1600 HRS.,OAK PARK RESIDENT,person(s) unknown removed a delivered package from the foyer area of the victim's building that contained a behringer eurolive 300w wireless speaker. estimated loss $229.00,26-MAY-23,2.0,
9619,1905 HRS.,TARGET,two m/b offenders entered the store and removed multiple bottles of alcohol. both offenders walked passed the last point of purchase and exited the store. total estimated loss $285.89.,03-JAN-23,1.0,
9620,1921 - 1925 HRS.,OAK PARK RESIDENT,person(s) unknown by unknown means removed a walmart package from the victim's front porch. the package contained 40 counts of toilet paper. estimated loss $32.22.,19-DEC-22,1.0,
9621,1457 HRS.,CHICAGO RESIDENT,"the 2017 hyundai elantra that was reported stolen out of oak park on 23-nov-22, was located at the above location. no apprehensions.",03-DEC-22,2.0,
9622,2215 - 0845 HRS.,OAK PARK RESIDENT,person(s) unknown by possible means of a pry-type tool broke the rear passenger window of the victims 2011 dodge grand caravan. estimated damage $400.00,09-NOV-22 -10-NOV-22,1.0,
9623,0800 - 1730 HRS.,OAK PARK RESIDENT,"person(s) unknown by means of a cutting type tool removed the catalytic converter from the victim's parked 2007 toyota prius. estimated loss $2,100.00",18-OCT-22,1.0,
9624,2142 HRS.,OAK PARK RESIDENT,"the 2020 kia forte that was reported stolen out of oak park on 10-oct-22, was recovered by the chicago p.d. no apprehensions.",11-OCT-22,3.0,legit_outside_oak_park: event outside OP (CHICAGO)
9625,. 1121 HRS,RIVER GROVE RESIDENT,the 2003 ford focus that was reported stolen out of chicago on 25-sep-22 was recovered by the oak park police department. no apprehensions were made.,28-SEP-22,1.0,
9626,. 2245 - 0800 HRS.,OAK PARK RESIDENT,person(s) unknown by unknown means removed the catalytic converter from the victim's gold 2002 honda civic while it was parked. estimated loss $850.00.,15-SEPT-22 - 16-SEPT-22,1.0,
9627,0700-1700 HRS.,OAK PARK RESIDENT,person(s) unknown by unknown means removed the catalytic converter from the victim's toyota prius while parked. total estimated loss $300.00.,29-JUL-22,1.0,
9628,1730HRS-1300HRS,OAK PARK RESIDENT,offender unknown by means of an unlocked door entered the parked red 2018 chrysler pacifica and ransacked the interior. no loss reported at this time.,14MAY22-15MAY22,4.0,
9629,2030 HRS.,OAK PARK RESIDENT,the silver 2016 toyota corolla that was reported stolen on 17-apr-22 from the 100 block of forest was recovered by oak park detectives. no apprehensions.,21-APR-22,1.0,legit_outside_oak_park: event outside OP (Chicago)
9630,1014 HRS.,OAK PARK RESIDENT,person(s) unknown by unknown means gained entry to the victim's building vestibule and removed a package containing a brown coach purse inside. estimated loss $200.00.,23-FEB-22,1.0,
9631,1830 HRS.,OAK PARK RESIDENT,person(s) unknown removed the victim's package from the front vestibule of the building. the package contained a pair of prescription glasses. estimated loss $220.00.,07-JAN-22,1.0,
9632,1430- 1845HRS,OAK PARK RESIDENT,"offender(s) unknown removed a ups package, which contained a teleplay brand green screen studio from her front porch at the above address. estimated loss is $70.00.",17DEC21,2.0,
9633,2000-0730 HRS.,OAK PARK RESIDENT,person(s) unknown by unknown means removed the amazon package containing (1) pack of command adhesive hanging strips from the victim's front porch. estimated loss $10.00.,08-DEC-21 - 09-DEC-21,1.0,
9634,0800-1800 HRS.,OAK PARK RESIDENT,person(s) unknown removed the victim's blue schwinn jogging stroller from the common area of the residence while left unattended/unsecured. estimated loss $300.00.,29-NOV-21,1.0,
9635,0800 - 0525 HRS,UNION PACIFIC RAILROAD,"person(s) unknown by unknown means caused damage and graffiti to the storage room door located on the platform at location. estimated damage $2,000.00.",28-NOV-21 - 29-NOV-21,2.0,
9636,1200-1400 HRS.,OAK PARK RESIDENT,person(s) unknown removed the victim's white apple air pods that were secured to the gym locker located in the men's locker room of the school. estimated loss $180.00.,15-NOV-21,1.0,
9637,1630-1830 HRS.,OAK PARK RESIDENT,person(s) unknown removed the victim's usps package from the locked mailbox of the building. the package contained an off-white copper pendant. estimated loss $50.00,06-NOV-21,1.0,
9638,1400-1500 HRS.,OAK PARK RESIDENT,"person(s) unknown removed the victim's black apple iphone 12 pro cellphone from her side coat pocket while victim was inside store. loss estimated at $1,250.00.",07-NOV-21,2.0,manual_fix: regeocoded_with_op_bias_pass2
9639,1500-0130 HRS.,OAK PARK RESIDENT,"person(s) unknown, by unknown means, broke the patio table and removed a number of plants out of the trays in the backyard. damage estimated at $125.00.",02-OCT-21/03-OCT-21,2.0,
9640,1700-2013 HRS,CHICAGO RESIDENT,"person(s) unknown removed the victim's black 2015 toyota avalon which was parked on the street at the above location by unknown means. loss estimated at $20,000.",16-SEP-21,2.0,
9641,0700 - 1930 HRS.,OAK PARK RESIDENT,person(s) unknown by unknown means removed the victim's locked gray giant cruiser bicycle from the bike rack on the second floor of the garage. estimated loss $400.00.,24-AUG-21 - 25 -AUG-21,1.0,
9642,2130-1446 HRS.,OAK PARK RESIDENT,person(s) unknown by unknown means gained entry to the victim's silver 2012 toyota prius and ransacked the interior. no loss at time of report.,21-AUG-21 - 24-AUG-21,1.0,
9643,1654 HRS.,,"subject: mccall, yndia 35 yoa, of the 5400 block of west end, chicago, il. was arrested for two active warrants out of dupage county after subject was stopped for a traffic stop.",06-AUG-21,1.0,
9644,1810 HRS.,STATE OF ILLINOIS,"offender: devon l. roberts, 31yoa of the 3100 block of w. madison street, chicago was arrested for an outstanding oak park warrant for aggravated battery.",28-MAY-21,2.0,legit_outside_oak_park: event outside OP (MAYWOOD)
9645,1015 - 1730 HRS.,OAK PARK RESIDENT,offender(s) unknown removed the victim's ups package from the exterior front landing of the apartment complex. the package contained clothing. estimated loss $65.00.,29-APR-21,1.0,
9646,1400 HRS.,CHICAGO RESIDENT,"the offender: m/b, thin build, lsw a black long sleeved shirt, driving a black vehicle, drove up next to the victim and fired several shots at the victim.",27-SEP-20,5.0,
9647,2100-0945 HRS.,OAK PARK RESIDENT,"person(s) unknown gained entry to the victim's garage by means of breaking the glass window. once inside the offender(s) removed two bicycles. estimated loss $1,600.00.",18-SEP-20 - 19-SEP-20,1.0,
9648,1130 HRS.,,"fisher, damion 41yoa of the 7700 block of van buren in forest park was arrested on an active idoc warrant for parole violation for aggravated battery to police officer.",31-JUL-20,2.0,
9649,0016 HRS.,,"johnson, howard 23yoa of the 4000 block of w. adams in chicago was arrested for suspended drivers license and an active warrant from mchenry county for forgery.",29-JUL-20,2.0,
9650,1700-0545 HRS.,OAK PARK RESIDENT,offender(s) unknown by means of a pry type tool damaged the driver side window trim of the victim's vehicle. estimated loss $100.00.,24-JUN-20 - 25-JUN-20,1.0,
9651,0800 - 0000 HRS.,OAK PARK RESIDENT,"offender(s) unknown, by means of a cutting/pry type tool, removed the catalytic converter from the victim's parked 2007 honda crv. estimated loss $800.00",27-APR-20 - 01-MAY-20,2.0,
9652,1330 HRS.,ENTERPRISE,the black toyota corolla that was reported stolen out of oak park on 21-feb-20 from enterprise was recovered by the chicago police department.,22-FEB-20,2.0,
9653,1600-1515 HRS.,OAK PARK APARTMENTS,offender(s) unknown by unknown means partially shattered the exterior window pane to the garden apartment. estimated loss $100.00.,31-DEC-19 - 01-JAN-20,2.0,
9654,0120 HRS.,OAK PARK RESIDENT,offender(s) unknown damaged the east side window to his residence by throwing a large piece of cement. no loss estimated at time of this report.,02-JAN-20,3.0,
9655,0059 HRS.,OAK PARK RESIDENT,"offender unknown: m/b, 20-30 yoa, wearing a light colored cap, dark winter jacket and dark pants removed a package containing led light bulbs from the front steps.",01-DEC-19,2.0,
9656,0700 - 1530 HRS.,OAK PARK RESIDENT,offender(s) unknown by unknown means defeated the cable lock and removed the victim's black mongoose mountain bicycle from the bike rack. total loss is $170.00.,21-SEPT-19,2.0,
9657,1406 HRS.,HILLSIDE RESIDENT,person(s) unknown removed the victim's black and white back pack containing an apple i pad and other misc. items that were left unattended on a bus. estimated loss $300.00,12-AUG-19,1.0,
9658,0030 - 0728 HRS,CHICAGO RESIDENT,person(s) unknown by unknown means defeated the lock and removed the victim's secured men's grey fuji bicycle from the bike rack at the above address. estimated loss $200.00,07-AUG-19,1.0,
9659,1409 HRS.,STATE OF ILLINOIS,"subject: walkanoff, charles, 24 yoa, of the 900 block of south humphrey was arrested at the above address for an outside warrant for escape.",21-APR-19,3.0,
9660,2250 HRS,,"gaddy, darnell 37yoa of 100 block of south mason in chicago was arrested at the above location for driving while license suspended and no proof of insurance.",20-FEB-19,2.0,
9661,2100-1420 HRS,OAK PARK RESIDENT,offender(s) unknown attempted to gain entry into the victim's garage by damaging the locking mechanism to the side service door knob. estimated damage $30.00.,30-DEC-18,1.0,
9662,1500 - 0840 HRS.,OAK PARK RESIDENT,person(s) unknown entered the yard and by use of a pry type tool to the locked side service door attempted to gain entry to the garage with negative results.,21-NOV-18 - 26-NOV-18,1.0,
9663,0930 - 1245 HRS.,OAK PARK RESIDENT,"offender(s) unknown removed the victim's galaxy #4 cell phone and brown wallet containing misc. credit cards, and u.s.c. from an unlocked locker. estimated loss $330.00",16-NOV-18,1.0,
9664,1800-1745 HRS,OAK PARK RESIDENT,"person(s) unknown by means of an unknown cutting tool removed the catalytic converter from the victim's gray 2004 honda element. estimated loss $2,300.00",04-NOV-18 - 05-NOV-18,2.0,
9665,0900 - 1431 HRS.,OAK PARK RESIDENT,offender(s) unknown removed a pair of brown riding style women's boots and a pair of tan knee high women's boots from a package that was delivered. estimated loss $100.00,25-OCT-18,1.0,
9666,1720 HRS.,OAK PARK RESIDENT,"subject: clay ii, john e. 42 yoa, of the 1000 block of north harlem, oak park was arrested for financial identity theft that occurred on 23-may-18.",28-SEP-18,1.0,
9667,2100 - 0630 HRS.,CHICAGO RESIDENT,"person(s) unknown removed the victim's black leather hobo wallet containing a license, insurance card and misc. debit/credit cards. estimated loss is 168.00.",25-AUG-18 - 26-AUG-18,4.0,
9668,0800 - 1328 HRS.,OAK PARK RESIDENT,"person(s) unknown by means of an unknown cutting tool defeated the cable lock and removed the victim's black/red, mens, trek bike with red wheels. estimated loss $200.00",17-AUG-18,1.0,
9669,2300 - 0800 HRS.,OAK PARK RESIDENT,"person(s) unknown by unknown means defeated the cable lock and removed the victim's blue/silver 28 spd 26"" trek road bicycle, from a bicycle rack. estimated loss $850.00",07-AUG-18 - 08-AUG-18,2.0,
9670,1347 HRS.,MIDWEST PROPERTY GROUP / 1132 LAKE,"subject: jordan, kacper 31 yoa, of the 3500 block of south rhodes, chicago, il. was arrested for criminal trespass to building.",31-JUL-18,1.0,
9671,1100-2210,OAK APRK RESIDENT,person(s) unknown removed the victim's green men's cannondale mountain bike with black & yellow seat which was locked at the above location. loss estimated at $800.,29-JUN-18,3.0,
9672,2130 - 0954 HRS.,OAK PARK RESIDENT,"person(s) unknown, by means of a pry type tool broke the passenger side window of the victim's black 2016 chevrolet colorado. estimated damage is $500.00",14-JUN-18 - 15-JUN-18,1.0,
9673,0142HRS,BELLWOOD RESIDENT OAK PARK RESIDENCE CORP.,"hill, tyler of the 400 block of s taylor in oak park was arrested for domestic battery and criminal damage to property",28-APR-18,1.0,
9674,0800-1700 HRS,OAK PARK RESIDENT,person(s) unknown by unknown means gained entry to the victim's possibly unlocked garage and removed his men's falcon 10 speed roadster bicycle. estimated loss $1000.00.,16-MAR-18-20-MAR-18,2.0,
9675,1609 HRS,OAK PARK RESIDENT LOMBARD RESIDENT NA,"mitchell, jimothy (m/28) of the 2000 b lock of s. 11 th ave., broadview, il. was arrested for domestic batt ery and battery.",,,
9676,1654 HRS.,CHICAGO RESIDENT,"person(s) unknown, by unknown means, removed an ipad (serial # unknown) from the victim's unattended bag while at the oak park library. estimated loss unknown at this time.",09-FEB-26,1.0,
9677,1645 - 1730 HRS.,OAK PARK RESIDENT,"person(s) unknown removed the victim's louis vuitton purse that was left inside the library. the purse contained credit cards, usc, and misc. keys. estimated loss $1,500.00",06-JAN-26,3.0,manual_fix: regeocoded_with_op_bias_pass5 (block+1 fallback)
9678,1300 - 1000 HRS.,OAK PARK RESIDENT,"person(s) unknown, by means of an unlocked door gained entry to the victim's honda odyssey. once inside, the vehicle was ransacked. no loss reported.",07-NOV-25 - 08-NOV-25,2.0,
9679,1800 - 1815 HRS.,OAK PARK RESIDENT,"f/b, gained entry to the victim's 2024 volkswagen by means of an unlocked door. once inside, a garmin gps golf watch was removed. estimated loss $250.00",03-AUG-25,1.0,
9680,1720 - 0730 HRS.,OAK PARK RESIDENT,"person(s) unknown by unknown means removed the victim's blue hyundai elantra that was parked on the 3rd floor of the parking garage. estimated loss $5,000.00",28-JUL-25 - 29-JUL-25,1.0,
9681,1307 HRS.,OAK PARK RESIDENT,"offender(s) unknown removed the victim's brown wallet that contained multiple debit cards, id, and misc. cards that was located at the above address. estimated loss $3.00.",01-NOV-24,1.0,
9682,1337 HRS.,KB'S BEAUTY SUPPLY / 6325 NORTH AVE.,"f/b, removed multiple hair products and then exited the business without payment. subject was last seen going east on north ave. estimated loss $5.46",11-SEP-24,2.0,
9683,1600 - 1645 HRS.,CHICAGO RESIDENT,"person(s) unknown by means of a cutting type tool removed the catalytic converter from the victim's 2021 mitsubishi outlander. estimated loss $2,000.00",05-JUL-24,4.0,
9684,2150 HRS.,WALGREENS / 6412 ROOSEVELT,"subject: vance, corey e. (m/49) of the 100 block of n. sangamon, chicago, il. was arrested for retail theft and unlawful use of a weapon.",29-JUN-24,1.0,
9685,1623 - 1626 HRS.,OLD NAVY / 417 N. HARLEM,"offender: m/b, removed twelve pairs of women's dress pants, three pairs of girl's jeans and then exited the business without payment. estimated loss $430.35",01-JUN-24,2.0,
9686,0108 HRS.,OAK PARK RESIDENT,the 2012 lexus that was reported stolen on 11-may-24 from the 900 block of home was recovered by the chicago police department. no apprehensions.,14-MAY-24,3.0,
9687,1600 - 1018 HRS.,OAK PARK RESIDENT,person(s) unknown by means of using a small brick shattered the rear windshield of the victim's 2021 toyota highlander. estimated damage is unknown.,03-MAY-24 - 04-MAY-24,2.0,
9688,2230 - 0700 HRS.,OAK PARK RESIDENT,"person(s) unknown by means of an unlocked door gained entry to the victim's garage. once inside, a black colored mens giant bicycle was removed. estimated loss $1,500.00",23-MAR-24 - 24-MAR-24,2.0,
9689,1830 - 0800 HRS.,OAK PARK RESIDENT,person(s) unknown by unknown means damaged the door knob and locking mechanism to the victim's garage side service door. estimated damage $100.00,02-OCT-23 - 03-OCT-23,1.0,
